ds,y
01-01-2002 00:00:00,0
01-01-2002 01:00:00,0
01-01-2002 02:00:00,0
01-01-2002 03:00:00,0
01-01-2002 04:00:00,0
01-01-2002 05:00:00,0
01-01-2002 06:00:00,0
01-01-2002 07:00:00,27
01-01-2002 08:00:00,168
01-01-2002 09:00:00,328
01-01-2002 10:00:00,492
01-01-2002 11:00:00,554
01-01-2002 12:00:00,583
01-01-2002 13:00:00,519
01-01-2002 14:00:00,408
01-01-2002 15:00:00,250
01-01-2002 16:00:00,93
01-01-2002 17:00:00,4
01-01-2002 18:00:00,0
01-01-2002 19:00:00,0
01-01-2002 20:00:00,0
01-01-2002 21:00:00,0
01-01-2002 22:00:00,0
01-01-2002 23:00:00,0
02-01-2002 00:00:00,0
02-01-2002 01:00:00,0
02-01-2002 02:00:00,0
02-01-2002 03:00:00,0
02-01-2002 04:00:00,0
02-01-2002 05:00:00,0
02-01-2002 06:00:00,0
02-01-2002 07:00:00,23
02-01-2002 08:00:00,151
02-01-2002 09:00:00,326
02-01-2002 10:00:00,470
02-01-2002 11:00:00,555
02-01-2002 12:00:00,580
02-01-2002 13:00:00,530
02-01-2002 14:00:00,420
02-01-2002 15:00:00,258
02-01-2002 16:00:00,92
02-01-2002 17:00:00,4
02-01-2002 18:00:00,0
02-01-2002 19:00:00,0
02-01-2002 20:00:00,0
02-01-2002 21:00:00,0
02-01-2002 22:00:00,0
02-01-2002 23:00:00,0
03-01-2002 00:00:00,0
03-01-2002 01:00:00,0
03-01-2002 02:00:00,0
03-01-2002 03:00:00,0
03-01-2002 04:00:00,0
03-01-2002 05:00:00,0
03-01-2002 06:00:00,0
03-01-2002 07:00:00,26
03-01-2002 08:00:00,173
03-01-2002 09:00:00,353
03-01-2002 10:00:00,502
03-01-2002 11:00:00,584
03-01-2002 12:00:00,540
03-01-2002 13:00:00,560
03-01-2002 14:00:00,446
03-01-2002 15:00:00,285
03-01-2002 16:00:00,107
03-01-2002 17:00:00,5
03-01-2002 18:00:00,0
03-01-2002 19:00:00,0
03-01-2002 20:00:00,0
03-01-2002 21:00:00,0
03-01-2002 22:00:00,0
03-01-2002 23:00:00,0
04-01-2002 00:00:00,0
04-01-2002 01:00:00,0
04-01-2002 02:00:00,0
04-01-2002 03:00:00,0
04-01-2002 04:00:00,0
04-01-2002 05:00:00,0
04-01-2002 06:00:00,0
04-01-2002 07:00:00,23
04-01-2002 08:00:00,149
04-01-2002 09:00:00,326
04-01-2002 10:00:00,470
04-01-2002 11:00:00,535
04-01-2002 12:00:00,588
04-01-2002 13:00:00,481
04-01-2002 14:00:00,424
04-01-2002 15:00:00,259
04-01-2002 16:00:00,96
04-01-2002 17:00:00,5
04-01-2002 18:00:00,0
04-01-2002 19:00:00,0
04-01-2002 20:00:00,0
04-01-2002 21:00:00,0
04-01-2002 22:00:00,0
04-01-2002 23:00:00,0
05-01-2002 00:00:00,0
05-01-2002 01:00:00,0
05-01-2002 02:00:00,0
05-01-2002 03:00:00,0
05-01-2002 04:00:00,0
05-01-2002 05:00:00,0
05-01-2002 06:00:00,0
05-01-2002 07:00:00,26
05-01-2002 08:00:00,172
05-01-2002 09:00:00,352
05-01-2002 10:00:00,499
05-01-2002 11:00:00,587
05-01-2002 12:00:00,608
05-01-2002 13:00:00,563
05-01-2002 14:00:00,453
05-01-2002 15:00:00,290
05-01-2002 16:00:00,111
05-01-2002 17:00:00,6
05-01-2002 18:00:00,0
05-01-2002 19:00:00,0
05-01-2002 20:00:00,0
05-01-2002 21:00:00,0
05-01-2002 22:00:00,0
05-01-2002 23:00:00,0
06-01-2002 00:00:00,0
06-01-2002 01:00:00,0
06-01-2002 02:00:00,0
06-01-2002 03:00:00,0
06-01-2002 04:00:00,0
06-01-2002 05:00:00,0
06-01-2002 06:00:00,0
06-01-2002 07:00:00,23
06-01-2002 08:00:00,147
06-01-2002 09:00:00,319
06-01-2002 10:00:00,463
06-01-2002 11:00:00,549
06-01-2002 12:00:00,559
06-01-2002 13:00:00,538
06-01-2002 14:00:00,435
06-01-2002 15:00:00,274
06-01-2002 16:00:00,103
06-01-2002 17:00:00,6
06-01-2002 18:00:00,0
06-01-2002 19:00:00,0
06-01-2002 20:00:00,0
06-01-2002 21:00:00,0
06-01-2002 22:00:00,0
06-01-2002 23:00:00,0
07-01-2002 00:00:00,0
07-01-2002 01:00:00,0
07-01-2002 02:00:00,0
07-01-2002 03:00:00,0
07-01-2002 04:00:00,0
07-01-2002 05:00:00,0
07-01-2002 06:00:00,0
07-01-2002 07:00:00,25
07-01-2002 08:00:00,154
07-01-2002 09:00:00,318
07-01-2002 10:00:00,471
07-01-2002 11:00:00,563
07-01-2002 12:00:00,617
07-01-2002 13:00:00,410
07-01-2002 14:00:00,405
07-01-2002 15:00:00,173
07-01-2002 16:00:00,77
07-01-2002 17:00:00,6
07-01-2002 18:00:00,0
07-01-2002 19:00:00,0
07-01-2002 20:00:00,0
07-01-2002 21:00:00,0
07-01-2002 22:00:00,0
07-01-2002 23:00:00,0
08-01-2002 00:00:00,0
08-01-2002 01:00:00,0
08-01-2002 02:00:00,0
08-01-2002 03:00:00,0
08-01-2002 04:00:00,0
08-01-2002 05:00:00,0
08-01-2002 06:00:00,0
08-01-2002 07:00:00,20
08-01-2002 08:00:00,126
08-01-2002 09:00:00,300
08-01-2002 10:00:00,427
08-01-2002 11:00:00,556
08-01-2002 12:00:00,578
08-01-2002 13:00:00,526
08-01-2002 14:00:00,420
08-01-2002 15:00:00,228
08-01-2002 16:00:00,66
08-01-2002 17:00:00,6
08-01-2002 18:00:00,0
08-01-2002 19:00:00,0
08-01-2002 20:00:00,0
08-01-2002 21:00:00,0
08-01-2002 22:00:00,0
08-01-2002 23:00:00,0
09-01-2002 00:00:00,0
09-01-2002 01:00:00,0
09-01-2002 02:00:00,0
09-01-2002 03:00:00,0
09-01-2002 04:00:00,0
09-01-2002 05:00:00,0
09-01-2002 06:00:00,0
09-01-2002 07:00:00,23
09-01-2002 08:00:00,92
09-01-2002 09:00:00,160
09-01-2002 10:00:00,376
09-01-2002 11:00:00,559
09-01-2002 12:00:00,573
09-01-2002 13:00:00,562
09-01-2002 14:00:00,459
09-01-2002 15:00:00,296
09-01-2002 16:00:00,118
09-01-2002 17:00:00,8
09-01-2002 18:00:00,0
09-01-2002 19:00:00,0
09-01-2002 20:00:00,0
09-01-2002 21:00:00,0
09-01-2002 22:00:00,0
09-01-2002 23:00:00,0
10-01-2002 00:00:00,0
10-01-2002 01:00:00,0
10-01-2002 02:00:00,0
10-01-2002 03:00:00,0
10-01-2002 04:00:00,0
10-01-2002 05:00:00,0
10-01-2002 06:00:00,0
10-01-2002 07:00:00,21
10-01-2002 08:00:00,121
10-01-2002 09:00:00,183
10-01-2002 10:00:00,348
10-01-2002 11:00:00,404
10-01-2002 12:00:00,405
10-01-2002 13:00:00,223
10-01-2002 14:00:00,362
10-01-2002 15:00:00,234
10-01-2002 16:00:00,96
10-01-2002 17:00:00,8
10-01-2002 18:00:00,0
10-01-2002 19:00:00,0
10-01-2002 20:00:00,0
10-01-2002 21:00:00,0
10-01-2002 22:00:00,0
10-01-2002 23:00:00,0
11-01-2002 00:00:00,0
11-01-2002 01:00:00,0
11-01-2002 02:00:00,0
11-01-2002 03:00:00,0
11-01-2002 04:00:00,0
11-01-2002 05:00:00,0
11-01-2002 06:00:00,0
11-01-2002 07:00:00,21
11-01-2002 08:00:00,144
11-01-2002 09:00:00,274
11-01-2002 10:00:00,359
11-01-2002 11:00:00,433
11-01-2002 12:00:00,404
11-01-2002 13:00:00,368
11-01-2002 14:00:00,197
11-01-2002 15:00:00,223
11-01-2002 16:00:00,77
11-01-2002 17:00:00,8
11-01-2002 18:00:00,0
11-01-2002 19:00:00,0
11-01-2002 20:00:00,0
11-01-2002 21:00:00,0
11-01-2002 22:00:00,0
11-01-2002 23:00:00,0
12-01-2002 00:00:00,0
12-01-2002 01:00:00,0
12-01-2002 02:00:00,0
12-01-2002 03:00:00,0
12-01-2002 04:00:00,0
12-01-2002 05:00:00,0
12-01-2002 06:00:00,0
12-01-2002 07:00:00,23
12-01-2002 08:00:00,98
12-01-2002 09:00:00,186
12-01-2002 10:00:00,201
12-01-2002 11:00:00,367
12-01-2002 12:00:00,401
12-01-2002 13:00:00,473
12-01-2002 14:00:00,307
12-01-2002 15:00:00,269
12-01-2002 16:00:00,122
12-01-2002 17:00:00,9
12-01-2002 18:00:00,0
12-01-2002 19:00:00,0
12-01-2002 20:00:00,0
12-01-2002 21:00:00,0
12-01-2002 22:00:00,0
12-01-2002 23:00:00,0
13-01-2002 00:00:00,0
13-01-2002 01:00:00,0
13-01-2002 02:00:00,0
13-01-2002 03:00:00,0
13-01-2002 04:00:00,0
13-01-2002 05:00:00,0
13-01-2002 06:00:00,0
13-01-2002 07:00:00,21
13-01-2002 08:00:00,140
13-01-2002 09:00:00,319
13-01-2002 10:00:00,506
13-01-2002 11:00:00,586
13-01-2002 12:00:00,406
13-01-2002 13:00:00,446
13-01-2002 14:00:00,478
13-01-2002 15:00:00,261
13-01-2002 16:00:00,115
13-01-2002 17:00:00,10
13-01-2002 18:00:00,0
13-01-2002 19:00:00,0
13-01-2002 20:00:00,0
13-01-2002 21:00:00,0
13-01-2002 22:00:00,0
13-01-2002 23:00:00,0
14-01-2002 00:00:00,0
14-01-2002 01:00:00,0
14-01-2002 02:00:00,0
14-01-2002 03:00:00,0
14-01-2002 04:00:00,0
14-01-2002 05:00:00,0
14-01-2002 06:00:00,0
14-01-2002 07:00:00,24
14-01-2002 08:00:00,160
14-01-2002 09:00:00,347
14-01-2002 10:00:00,498
14-01-2002 11:00:00,593
14-01-2002 12:00:00,621
14-01-2002 13:00:00,576
14-01-2002 14:00:00,470
14-01-2002 15:00:00,306
14-01-2002 16:00:00,127
14-01-2002 17:00:00,11
14-01-2002 18:00:00,0
14-01-2002 19:00:00,0
14-01-2002 20:00:00,0
14-01-2002 21:00:00,0
14-01-2002 22:00:00,0
14-01-2002 23:00:00,0
15-01-2002 00:00:00,0
15-01-2002 01:00:00,0
15-01-2002 02:00:00,0
15-01-2002 03:00:00,0
15-01-2002 04:00:00,0
15-01-2002 05:00:00,0
15-01-2002 06:00:00,0
15-01-2002 07:00:00,26
15-01-2002 08:00:00,123
15-01-2002 09:00:00,285
15-01-2002 10:00:00,460
15-01-2002 11:00:00,559
15-01-2002 12:00:00,582
15-01-2002 13:00:00,544
15-01-2002 14:00:00,434
15-01-2002 15:00:00,269
15-01-2002 16:00:00,110
15-01-2002 17:00:00,10
15-01-2002 18:00:00,0
15-01-2002 19:00:00,0
15-01-2002 20:00:00,0
15-01-2002 21:00:00,0
15-01-2002 22:00:00,0
15-01-2002 23:00:00,0
16-01-2002 00:00:00,0
16-01-2002 01:00:00,0
16-01-2002 02:00:00,0
16-01-2002 03:00:00,0
16-01-2002 04:00:00,0
16-01-2002 05:00:00,0
16-01-2002 06:00:00,0
16-01-2002 07:00:00,22
16-01-2002 08:00:00,134
16-01-2002 09:00:00,298
16-01-2002 10:00:00,448
16-01-2002 11:00:00,543
16-01-2002 12:00:00,573
16-01-2002 13:00:00,528
16-01-2002 14:00:00,423
16-01-2002 15:00:00,264
16-01-2002 16:00:00,103
16-01-2002 17:00:00,11
16-01-2002 18:00:00,0
16-01-2002 19:00:00,0
16-01-2002 20:00:00,0
16-01-2002 21:00:00,0
16-01-2002 22:00:00,0
16-01-2002 23:00:00,0
17-01-2002 00:00:00,0
17-01-2002 01:00:00,0
17-01-2002 02:00:00,0
17-01-2002 03:00:00,0
17-01-2002 04:00:00,0
17-01-2002 05:00:00,0
17-01-2002 06:00:00,0
17-01-2002 07:00:00,23
17-01-2002 08:00:00,140
17-01-2002 09:00:00,311
17-01-2002 10:00:00,459
17-01-2002 11:00:00,559
17-01-2002 12:00:00,590
17-01-2002 13:00:00,545
17-01-2002 14:00:00,363
17-01-2002 15:00:00,266
17-01-2002 16:00:00,101
17-01-2002 17:00:00,12
17-01-2002 18:00:00,0
17-01-2002 19:00:00,0
17-01-2002 20:00:00,0
17-01-2002 21:00:00,0
17-01-2002 22:00:00,0
17-01-2002 23:00:00,0
18-01-2002 00:00:00,0
18-01-2002 01:00:00,0
18-01-2002 02:00:00,0
18-01-2002 03:00:00,0
18-01-2002 04:00:00,0
18-01-2002 05:00:00,0
18-01-2002 06:00:00,0
18-01-2002 07:00:00,22
18-01-2002 08:00:00,144
18-01-2002 09:00:00,335
18-01-2002 10:00:00,497
18-01-2002 11:00:00,597
18-01-2002 12:00:00,623
18-01-2002 13:00:00,583
18-01-2002 14:00:00,475
18-01-2002 15:00:00,311
18-01-2002 16:00:00,130
18-01-2002 17:00:00,13
18-01-2002 18:00:00,0
